Departamento,Anio,Mes,Tmaxp,Tminp,Precs,Capital
Huanuco,1956,6,26.88888889,11.16666667,0,Huanuco
Huanuco,1956,7,NA,NA,0,Huanuco
Huanuco,1956,8,NA,NA,0,Huanuco
Huanuco,1956,9,NA,NA,0,Huanuco
Huanuco,1956,10,NA,NA,0,Huanuco
Huanuco,1956,11,NA,NA,0,Huanuco
Huanuco,1956,12,NA,NA,0,Huanuco
Huanuco,1957,1,NA,NA,0,Huanuco
Huanuco,1957,2,NA,NA,0,Huanuco
Huanuco,1957,3,NA,NA,0,Huanuco
Huanuco,1957,4,NA,NA,0,Huanuco
Huanuco,1957,5,NA,NA,0,Huanuco
Huanuco,1957,6,NA,NA,0,Huanuco
Huanuco,1957,7,NA,NA,0,Huanuco
Huanuco,1957,8,NA,NA,0,Huanuco
Huanuco,1957,9,NA,NA,0,Huanuco
Huanuco,1957,10,NA,NA,0,Huanuco
Huanuco,1957,11,NA,NA,0,Huanuco
Huanuco,1957,12,NA,NA,0,Huanuco
Huanuco,1958,1,NA,NA,0,Huanuco
Huanuco,1958,2,NA,NA,0,Huanuco
Huanuco,1958,3,NA,NA,0,Huanuco
Huanuco,1958,4,NA,NA,0,Huanuco
Huanuco,1958,5,NA,NA,0,Huanuco
Huanuco,1958,6,NA,NA,0,Huanuco
Huanuco,1958,7,NA,NA,0,Huanuco
Huanuco,1958,8,NA,NA,0,Huanuco
Huanuco,1958,9,NA,NA,0,Huanuco
Huanuco,1958,10,NA,NA,0,Huanuco
Huanuco,1958,11,NA,NA,0,Huanuco
Huanuco,1958,12,NA,NA,0,Huanuco
Huanuco,1959,1,NA,NA,0,Huanuco
Huanuco,1959,2,NA,NA,0,Huanuco
Huanuco,1959,3,NA,NA,0,Huanuco
Huanuco,1959,4,NA,NA,0,Huanuco
Huanuco,1959,5,NA,NA,0,Huanuco
Huanuco,1959,6,NA,NA,0,Huanuco
Huanuco,1959,7,NA,NA,0,Huanuco
Huanuco,1959,8,NA,NA,0,Huanuco
Huanuco,1959,9,NA,NA,0,Huanuco
Huanuco,1959,10,NA,NA,0,Huanuco
Huanuco,1959,11,NA,NA,0,Huanuco
Huanuco,1959,12,NA,NA,0,Huanuco
Huanuco,1960,1,NA,NA,0,Huanuco
Huanuco,1960,2,NA,NA,0,Huanuco
Huanuco,1960,3,NA,NA,0,Huanuco
Huanuco,1960,4,NA,NA,0,Huanuco
Huanuco,1960,5,NA,NA,0,Huanuco
Huanuco,1960,6,NA,NA,0,Huanuco
Huanuco,1960,7,NA,NA,0,Huanuco
Huanuco,1960,8,NA,NA,0,Huanuco
Huanuco,1960,9,NA,NA,0,Huanuco
Huanuco,1960,10,NA,NA,0,Huanuco
Huanuco,1960,11,NA,NA,0,Huanuco
Huanuco,1960,12,NA,NA,0,Huanuco
Huanuco,1961,1,NA,NA,0,Huanuco
Huanuco,1961,2,NA,NA,0,Huanuco
Huanuco,1961,3,NA,NA,0,Huanuco
Huanuco,1961,4,NA,NA,0,Huanuco
Huanuco,1961,5,NA,NA,0,Huanuco
Huanuco,1961,6,NA,NA,0,Huanuco
Huanuco,1961,7,NA,NA,0,Huanuco
Huanuco,1961,8,NA,NA,0,Huanuco
Huanuco,1961,9,NA,NA,0,Huanuco
Huanuco,1961,10,NA,NA,0,Huanuco
Huanuco,1961,11,NA,NA,0,Huanuco
Huanuco,1961,12,NA,NA,0,Huanuco
Huanuco,1962,1,NA,NA,0,Huanuco
Huanuco,1962,2,NA,NA,0,Huanuco
Huanuco,1962,3,NA,NA,0,Huanuco
Huanuco,1962,4,NA,NA,0,Huanuco
Huanuco,1962,5,NA,NA,0,Huanuco
Huanuco,1962,6,NA,NA,0,Huanuco
Huanuco,1962,7,NA,NA,0,Huanuco
Huanuco,1962,8,NA,NA,0,Huanuco
Huanuco,1962,9,NA,NA,0,Huanuco
Huanuco,1962,10,NA,NA,0,Huanuco
Huanuco,1962,11,NA,NA,0,Huanuco
Huanuco,1962,12,NA,NA,0,Huanuco
Huanuco,1963,1,NA,NA,0,Huanuco
Huanuco,1963,2,NA,NA,0,Huanuco
Huanuco,1963,3,NA,NA,0,Huanuco
Huanuco,1963,4,NA,NA,0,Huanuco
Huanuco,1963,5,NA,NA,0,Huanuco
Huanuco,1963,6,NA,NA,0,Huanuco
Huanuco,1963,7,NA,NA,0,Huanuco
Huanuco,1963,8,NA,NA,0,Huanuco
